id name Rista Advanced
id author Developer
uciok
info string Move b7c6 score -165
DEBUG: evaluate returned crazy score! stand_pat=30180
DEBUG: evaluate returned crazy score! stand_pat=30180
DEBUG: evaluate returned crazy score! stand_pat=30180
DEBUG: evaluate returned crazy score! stand_pat=30180
DEBUG: evaluate returned crazy score! stand_pat=30135
DEBUG: evaluate returned crazy score! stand_pat=30150
DEBUG: evaluate returned crazy score! stand_pat=30115
DEBUG: evaluate returned crazy score! stand_pat=30150
DEBUG: evaluate returned crazy score! stand_pat=30155
DEBUG: evaluate returned crazy score! stand_pat=30155
DEBUG: evaluate returned crazy score! stand_pat=30150
DEBUG: evaluate returned crazy score! stand_pat=30155
DEBUG: evaluate returned crazy score! stand_pat=30160
DEBUG: evaluate returned crazy score! stand_pat=30160
DEBUG: evaluate returned crazy score! stand_pat=30150
DEBUG: evaluate returned crazy score! stand_pat=30140
DEBUG: evaluate returned crazy score! stand_pat=30140
DEBUG: evaluate returned crazy score! stand_pat=30145
DEBUG: evaluate returned crazy score! stand_pat=30160
DEBUG: evaluate returned crazy score! stand_pat=30160
DEBUG: evaluate returned crazy score! stand_pat=30110
DEBUG: evaluate returned crazy score! stand_pat=30150
DEBUG: evaluate returned crazy score! stand_pat=30180
DEBUG: evaluate returned crazy score! stand_pat=30180
DEBUG: evaluate returned crazy score! stand_pat=30180
DEBUG: evaluate returned crazy score! stand_pat=30180
DEBUG: evaluate returned crazy score! stand_pat=30205
DEBUG: evaluate returned crazy score! stand_pat=30160
DEBUG: evaluate returned crazy score! stand_pat=30155
DEBUG: evaluate returned crazy score! stand_pat=30150
DEBUG: evaluate returned crazy score! stand_pat=30145
DEBUG: evaluate returned crazy score! stand_pat=30180
DEBUG: evaluate returned crazy score! stand_pat=30180
DEBUG: evaluate returned crazy score! stand_pat=30180
DEBUG: evaluate returned crazy score! stand_pat=30180
DEBUG: evaluate returned crazy score! stand_pat=30180
DEBUG: evaluate returned crazy score! stand_pat=30180
DEBUG: evaluate returned crazy score! stand_pat=30160
DEBUG: evaluate returned crazy score! stand_pat=30150
DEBUG: evaluate returned crazy score! stand_pat=30115
DEBUG: evaluate returned crazy score! stand_pat=30150
DEBUG: evaluate returned crazy score! stand_pat=30155
DEBUG: evaluate returned crazy score! stand_pat=30155
DEBUG: evaluate returned crazy score! stand_pat=30150
DEBUG: evaluate returned crazy score! stand_pat=30155
DEBUG: evaluate returned crazy score! stand_pat=30160
DEBUG: evaluate returned crazy score! stand_pat=30160
DEBUG: evaluate returned crazy score! stand_pat=30150
DEBUG: evaluate returned crazy score! stand_pat=30140
DEBUG: evaluate returned crazy score! stand_pat=30160
DEBUG: evaluate returned crazy score! stand_pat=30110
DEBUG: evaluate returned crazy score! stand_pat=30150
DEBUG: evaluate returned crazy score! stand_pat=30180
DEBUG: evaluate returned crazy score! stand_pat=30180
DEBUG: evaluate returned crazy score! stand_pat=30180
DEBUG: evaluate returned crazy score! stand_pat=30180
DEBUG: evaluate returned crazy score! stand_pat=30205
DEBUG: evaluate returned crazy score! stand_pat=30160
DEBUG: evaluate returned crazy score! stand_pat=30155
DEBUG: evaluate returned crazy score! stand_pat=30145
DEBUG: evaluate returned crazy score! stand_pat=30180
DEBUG: evaluate returned crazy score! stand_pat=30180
DEBUG: evaluate returned crazy score! stand_pat=30180
DEBUG: evaluate returned crazy score! stand_pat=30180
DEBUG: evaluate returned crazy score! stand_pat=30180
DEBUG: evaluate returned crazy score! stand_pat=30180
DEBUG: evaluate returned crazy score! stand_pat=30130
DEBUG: evaluate returned crazy score! stand_pat=30175
DEBUG: evaluate returned crazy score! stand_pat=30140
DEBUG: evaluate returned crazy score! stand_pat=30135
DEBUG: evaluate returned crazy score! stand_pat=30175
DEBUG: evaluate returned crazy score! stand_pat=30165
DEBUG: evaluate returned crazy score! stand_pat=30165
DEBUG: evaluate returned crazy score! stand_pat=30170
DEBUG: evaluate returned crazy score! stand_pat=30185
DEBUG: evaluate returned crazy score! stand_pat=30180
DEBUG: evaluate returned crazy score! stand_pat=30175
DEBUG: evaluate returned crazy score! stand_pat=30180
DEBUG: evaluate returned crazy score! stand_pat=30185
DEBUG: evaluate returned crazy score! stand_pat=30180
DEBUG: evaluate returned crazy score! stand_pat=30175
DEBUG: evaluate returned crazy score! stand_pat=30175
DEBUG: evaluate returned crazy score! stand_pat=30175
DEBUG: evaluate returned crazy score! stand_pat=30175
DEBUG: evaluate returned crazy score! stand_pat=30180
DEBUG: evaluate returned crazy score! stand_pat=30185
DEBUG: evaluate returned crazy score! stand_pat=30185
DEBUG: evaluate returned crazy score! stand_pat=30185
DEBUG: evaluate returned crazy score! stand_pat=30175
DEBUG: evaluate returned crazy score! stand_pat=30165
DEBUG: evaluate returned crazy score! stand_pat=30165
DEBUG: evaluate returned crazy score! stand_pat=30170
DEBUG: evaluate returned crazy score! stand_pat=30185
DEBUG: evaluate returned crazy score! stand_pat=30140
DEBUG: evaluate returned crazy score! stand_pat=30135
DEBUG: evaluate returned crazy score! stand_pat=30175
DEBUG: evaluate returned crazy score! stand_pat=30205
DEBUG: evaluate returned crazy score! stand_pat=30205
DEBUG: evaluate returned crazy score! stand_pat=30205
DEBUG: evaluate returned crazy score! stand_pat=30205
DEBUG: evaluate returned crazy score! stand_pat=30205
DEBUG: evaluate returned crazy score! stand_pat=30205
DEBUG: evaluate returned crazy score! stand_pat=30205
DEBUG: evaluate returned crazy score! stand_pat=30205
DEBUG: evaluate returned crazy score! stand_pat=30205
DEBUG: evaluate returned crazy score! stand_pat=30205
DEBUG: evaluate returned crazy score! stand_pat=30205
DEBUG: evaluate returned crazy score! stand_pat=30205
DEBUG: evaluate returned crazy score! stand_pat=30045
DEBUG: evaluate returned crazy score! stand_pat=30045
DEBUG: evaluate returned crazy score! stand_pat=30225
DEBUG: evaluate returned crazy score! stand_pat=30345
DEBUG: evaluate returned crazy score! stand_pat=30310
DEBUG: evaluate returned crazy score! stand_pat=30355
DEBUG: evaluate returned crazy score! stand_pat=30350
DEBUG: evaluate returned crazy score! stand_pat=30340
DEBUG: evaluate returned crazy score! stand_pat=30350
DEBUG: evaluate returned crazy score! stand_pat=30355
DEBUG: evaluate returned crazy score! stand_pat=30350
DEBUG: evaluate returned crazy score! stand_pat=30345
DEBUG: evaluate returned crazy score! stand_pat=30345
DEBUG: evaluate returned crazy score! stand_pat=30345
DEBUG: evaluate returned crazy score! stand_pat=30345
DEBUG: evaluate returned crazy score! stand_pat=30350
DEBUG: evaluate returned crazy score! stand_pat=30355
DEBUG: evaluate returned crazy score! stand_pat=30355
DEBUG: evaluate returned crazy score! stand_pat=30355
DEBUG: evaluate returned crazy score! stand_pat=30345
DEBUG: evaluate returned crazy score! stand_pat=30355
DEBUG: evaluate returned crazy score! stand_pat=30335
DEBUG: evaluate returned crazy score! stand_pat=30340
DEBUG: evaluate returned crazy score! stand_pat=30355
DEBUG: evaluate returned crazy score! stand_pat=30335
DEBUG: evaluate returned crazy score! stand_pat=30305
DEBUG: evaluate returned crazy score! stand_pat=30345
DEBUG: evaluate returned crazy score! stand_pat=30375
DEBUG: evaluate returned crazy score! stand_pat=30375
DEBUG: evaluate returned crazy score! stand_pat=30335
DEBUG: evaluate returned crazy score! stand_pat=30375
DEBUG: evaluate returned crazy score! stand_pat=30375
DEBUG: evaluate returned crazy score! stand_pat=30345
DEBUG: evaluate returned crazy score! stand_pat=30375
DEBUG: evaluate returned crazy score! stand_pat=30375
DEBUG: evaluate returned crazy score! stand_pat=30375
DEBUG: evaluate returned crazy score! stand_pat=30375
DEBUG: evaluate returned crazy score! stand_pat=30375
DEBUG: evaluate returned crazy score! stand_pat=30375
DEBUG: evaluate returned crazy score! stand_pat=30325
DEBUG: evaluate returned crazy score! stand_pat=30335
DEBUG: evaluate returned crazy score! stand_pat=30090
DEBUG: evaluate returned crazy score! stand_pat=30125
DEBUG: evaluate returned crazy score! stand_pat=30115
DEBUG: evaluate returned crazy score! stand_pat=30115
DEBUG: evaluate returned crazy score! stand_pat=30120
DEBUG: evaluate returned crazy score! stand_pat=30135
DEBUG: evaluate returned crazy score! stand_pat=30130
DEBUG: evaluate returned crazy score! stand_pat=30130
DEBUG: evaluate returned crazy score! stand_pat=30125
DEBUG: evaluate returned crazy score! stand_pat=30125
DEBUG: evaluate returned crazy score! stand_pat=30125
DEBUG: evaluate returned crazy score! stand_pat=30125
DEBUG: evaluate returned crazy score! stand_pat=30130
DEBUG: evaluate returned crazy score! stand_pat=30135
DEBUG: evaluate returned crazy score! stand_pat=30135
DEBUG: evaluate returned crazy score! stand_pat=30135
DEBUG: evaluate returned crazy score! stand_pat=30125
DEBUG: evaluate returned crazy score! stand_pat=30115
DEBUG: evaluate returned crazy score! stand_pat=30115
DEBUG: evaluate returned crazy score! stand_pat=30120
DEBUG: evaluate returned crazy score! stand_pat=30135
DEBUG: evaluate returned crazy score! stand_pat=30135
DEBUG: evaluate returned crazy score! stand_pat=30125
DEBUG: evaluate returned crazy score! stand_pat=30155
DEBUG: evaluate returned crazy score! stand_pat=30155
DEBUG: evaluate returned crazy score! stand_pat=30155
DEBUG: evaluate returned crazy score! stand_pat=30155
DEBUG: evaluate returned crazy score! stand_pat=30155
DEBUG: evaluate returned crazy score! stand_pat=30155
DEBUG: evaluate returned crazy score! stand_pat=30155
DEBUG: evaluate returned crazy score! stand_pat=30155
DEBUG: evaluate returned crazy score! stand_pat=30155
DEBUG: evaluate returned crazy score! stand_pat=30155
DEBUG: evaluate returned crazy score! stand_pat=30140
DEBUG: evaluate returned crazy score! stand_pat=30125
DEBUG: evaluate returned crazy score! stand_pat=30175
DEBUG: evaluate returned crazy score! stand_pat=30125
DEBUG: evaluate returned crazy score! stand_pat=30140
DEBUG: evaluate returned crazy score! stand_pat=30005
DEBUG: evaluate returned crazy score! stand_pat=30230
DEBUG: evaluate returned crazy score! stand_pat=30350
DEBUG: evaluate returned crazy score! stand_pat=30315
DEBUG: evaluate returned crazy score! stand_pat=30345
DEBUG: evaluate returned crazy score! stand_pat=30360
DEBUG: evaluate returned crazy score! stand_pat=30355
DEBUG: evaluate returned crazy score! stand_pat=30340
DEBUG: evaluate returned crazy score! stand_pat=30355
DEBUG: evaluate returned crazy score! stand_pat=30360
DEBUG: evaluate returned crazy score! stand_pat=30355
DEBUG: evaluate returned crazy score! stand_pat=30350
DEBUG: evaluate returned crazy score! stand_pat=30350
DEBUG: evaluate returned crazy score! stand_pat=30350
DEBUG: evaluate returned crazy score! stand_pat=30350
DEBUG: evaluate returned crazy score! stand_pat=30355
DEBUG: evaluate returned crazy score! stand_pat=30360
DEBUG: evaluate returned crazy score! stand_pat=30360
DEBUG: evaluate returned crazy score! stand_pat=30360
DEBUG: evaluate returned crazy score! stand_pat=30340
DEBUG: evaluate returned crazy score! stand_pat=30340
DEBUG: evaluate returned crazy score! stand_pat=30350
DEBUG: evaluate returned crazy score! stand_pat=30310
DEBUG: evaluate returned crazy score! stand_pat=30350
DEBUG: evaluate returned crazy score! stand_pat=30380
DEBUG: evaluate returned crazy score! stand_pat=30380
DEBUG: evaluate returned crazy score! stand_pat=30380
DEBUG: evaluate returned crazy score! stand_pat=30380
DEBUG: evaluate returned crazy score! stand_pat=30380
DEBUG: evaluate returned crazy score! stand_pat=30380
DEBUG: evaluate returned crazy score! stand_pat=30380
DEBUG: evaluate returned crazy score! stand_pat=30380
DEBUG: evaluate returned crazy score! stand_pat=30380
DEBUG: evaluate returned crazy score! stand_pat=30380
DEBUG: evaluate returned crazy score! stand_pat=30380
DEBUG: evaluate returned crazy score! stand_pat=30330
DEBUG: evaluate returned crazy score! stand_pat=30350
DEBUG: evaluate returned crazy score! stand_pat=30115
DEBUG: evaluate returned crazy score! stand_pat=30080
DEBUG: evaluate returned crazy score! stand_pat=30105
DEBUG: evaluate returned crazy score! stand_pat=30105
DEBUG: evaluate returned crazy score! stand_pat=30110
DEBUG: evaluate returned crazy score! stand_pat=30125
DEBUG: evaluate returned crazy score! stand_pat=30120
DEBUG: evaluate returned crazy score! stand_pat=30115
DEBUG: evaluate returned crazy score! stand_pat=30120
DEBUG: evaluate returned crazy score! stand_pat=30125
DEBUG: evaluate returned crazy score! stand_pat=30120
DEBUG: evaluate returned crazy score! stand_pat=30115
DEBUG: evaluate returned crazy score! stand_pat=30115
DEBUG: evaluate returned crazy score! stand_pat=30115
DEBUG: evaluate returned crazy score! stand_pat=30115
DEBUG: evaluate returned crazy score! stand_pat=30120
DEBUG: evaluate returned crazy score! stand_pat=30125
DEBUG: evaluate returned crazy score! stand_pat=30125
DEBUG: evaluate returned crazy score! stand_pat=30125
DEBUG: evaluate returned crazy score! stand_pat=30115
DEBUG: evaluate returned crazy score! stand_pat=30105
DEBUG: evaluate returned crazy score! stand_pat=30105
DEBUG: evaluate returned crazy score! stand_pat=30110
DEBUG: evaluate returned crazy score! stand_pat=30125
DEBUG: evaluate returned crazy score! stand_pat=30125
DEBUG: evaluate returned crazy score! stand_pat=30075
DEBUG: evaluate returned crazy score! stand_pat=30115
DEBUG: evaluate returned crazy score! stand_pat=30145
DEBUG: evaluate returned crazy score! stand_pat=30145
DEBUG: evaluate returned crazy score! stand_pat=30145
DEBUG: evaluate returned crazy score! stand_pat=30145
DEBUG: evaluate returned crazy score! stand_pat=30145
DEBUG: evaluate returned crazy score! stand_pat=30145
DEBUG: evaluate returned crazy score! stand_pat=30145
DEBUG: evaluate returned crazy score! stand_pat=30145
DEBUG: evaluate returned crazy score! stand_pat=30145
DEBUG: evaluate returned crazy score! stand_pat=30145
DEBUG: evaluate returned crazy score! stand_pat=30145
DEBUG: evaluate returned crazy score! stand_pat=30145
DEBUG: evaluate returned crazy score! stand_pat=30140
DEBUG: evaluate returned crazy score! stand_pat=30135
DEBUG: evaluate returned crazy score! stand_pat=30140
DEBUG: evaluate returned crazy score! stand_pat=30130
DEBUG: evaluate returned crazy score! stand_pat=30140
DEBUG: evaluate returned crazy score! stand_pat=30130
DEBUG: evaluate returned crazy score! stand_pat=30135
DEBUG: evaluate returned crazy score! stand_pat=30115
DEBUG: evaluate returned crazy score! stand_pat=30155
DEBUG: evaluate returned crazy score! stand_pat=30160
DEBUG: evaluate returned crazy score! stand_pat=30160
DEBUG: evaluate returned crazy score! stand_pat=30150
DEBUG: evaluate returned crazy score! stand_pat=30140
DEBUG: evaluate returned crazy score! stand_pat=30140
DEBUG: evaluate returned crazy score! stand_pat=30145
DEBUG: evaluate returned crazy score! stand_pat=30160
DEBUG: evaluate returned crazy score! stand_pat=30160
DEBUG: evaluate returned crazy score! stand_pat=30150
DEBUG: evaluate returned crazy score! stand_pat=30180
DEBUG: evaluate returned crazy score! stand_pat=30180
DEBUG: evaluate returned crazy score! stand_pat=30180
DEBUG: evaluate returned crazy score! stand_pat=30180
DEBUG: evaluate returned crazy score! stand_pat=30180
DEBUG: evaluate returned crazy score! stand_pat=30180
DEBUG: evaluate returned crazy score! stand_pat=30205
DEBUG: evaluate returned crazy score! stand_pat=30160
DEBUG: evaluate returned crazy score! stand_pat=30150
DEBUG: evaluate returned crazy score! stand_pat=30145
DEBUG: evaluate returned crazy score! stand_pat=30180
DEBUG: evaluate returned crazy score! stand_pat=30180
DEBUG: evaluate returned crazy score! stand_pat=30180
DEBUG: evaluate returned crazy score! stand_pat=30180
DEBUG: evaluate returned crazy score! stand_pat=30160
DEBUG: evaluate returned crazy score! stand_pat=30150
DEBUG: evaluate returned crazy score! stand_pat=30115
DEBUG: evaluate returned crazy score! stand_pat=30155
DEBUG: evaluate returned crazy score! stand_pat=30155
DEBUG: evaluate returned crazy score! stand_pat=30160
DEBUG: evaluate returned crazy score! stand_pat=30160
